runId,caseId,intervalMs,iteration,starts,ends,totalRequests,totalDurationMs,successCount,walkOnlyCount,noRouteCount,http429Count,odsayMinus1Count,http5xxCount,otherErrorCount,responseAverageMs,responseP50Ms,responseP95Ms,responseMaxMs,startGapMinMs,startGapAverageMs,startGapMaxMs
4x4-250ms-1,4x4,250,1,4,4,16,18514,16,0,0,0,0,0,0,913,746,1690,1690,705,1150,1952
5x5-250ms-1,5x5,250,1,5,5,25,28758,25,0,0,0,0,0,0,903,1018,1289,1308,704,1145,1569
1x10-250ms-1,1x10,250,1,1,10,10,11291,10,0,0,0,0,0,0,898,1059,1196,1196,708,1132,1456
10x1-250ms-1,10x1,250,1,10,1,10,11586,10,0,0,0,0,0,0,927,870,1538,1538,709,1145,1790
4x4-100ms-1,4x4,100,1,4,4,16,12565,16,0,0,0,0,0,0,686,657,1283,1283,544,794,1397
5x5-100ms-1,5x5,100,1,5,5,25,21608,25,0,0,0,0,0,0,760,660,1273,1283,546,855,1395
1x10-100ms-1,1x10,100,1,1,10,10,9592,10,0,0,0,0,0,0,861,678,1196,1196,561,941,1301
10x1-100ms-1,10x1,100,1,10,1,10,7824,10,0,0,0,0,0,0,687,455,1290,1290,544,796,1391
4x4-0ms-1,4x4,0,1,4,4,16,9519,16,0,0,0,0,0,0,595,456,1078,1078,445,590,1078
5x5-0ms-1,5x5,0,1,5,5,25,17848,25,0,0,0,0,0,0,714,659,1108,1250,446,698,1250
1x10-0ms-1,1x10,0,1,1,10,10,6755,10,0,0,0,0,0,0,675,662,1078,1078,448,652,1078
10x1-0ms-1,10x1,0,1,10,1,10,7086,10,0,0,0,0,0,0,708,663,1316,1316,450,714,1316
